==========================================
SLURM_JOB_ID = 2410593
SLURM_NODELIST = gnode106
SLURM_JOB_GPUS = 1
==========================================
/var/spool/slurmd/job2410593/slurm_script: line 10: activate: No such file or directory

video 1/1721 (1/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 1 face, 26.9ms
video 10/1721 (1059/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 1 license, 24.4ms
video 10/1721 (1060/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 1 license, 24.3ms
video 10/1721 (1061/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 (no detections), 24.5ms
video 10/1721 (1062/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 (no detections), 24.4ms
video 10/1721 (1063/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 1 face, 24.7ms
video 10/1721 (1064/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 (no detections), 24.4ms
video 10/1721 (1065/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 1 face, 24.7ms
video 10/1721 (1066/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 1 face, 24.4ms
video 10/1721 (1067/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 1 license, 24.6ms
video 10/1721 (1068/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 1 license, 24.3ms
video 10/1721 (1069/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 2 licenses, 24.5ms
video 10/1721 (1070/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 2 licenses, 24.4ms
video 10/1721 (1071/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 1 license, 24.3ms
video 10/1721 (1072/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 1 license, 24.7ms
video 10/1721 (1073/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 1 face, 24.3ms
video 10/1721 (1074/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 1 face, 24.6ms
video 10/1721 (1075/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 1 license, 1 face, 24.3ms
video 10/1721 (1076/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 1 license, 1 face, 24.5ms
video 10/1721 (1077/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 1 license, 24.4ms
video 10/1721 (1078/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 1 license, 1 face, 24.3ms
video 10/1721 (1079/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 2 licenses, 24.6ms
video 10/1721 (1080/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 2 licenses, 24.3ms
video 10/1721 (1081/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 2 licenses, 24.6ms
video 10/1721 (1082/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 1 license, 24.4ms
video 10/1721 (1083/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 2 licenses, 24.3ms
video 10/1721 (1084/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 2 licenses, 24.4ms
video 10/1721 (1085/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 2 licenses, 24.2ms
video 10/1721 (1086/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 2 licenses, 24.7ms
video 10/1721 (1087/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 1 license, 24.3ms
video 10/1721 (1088/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 1 license, 24.5ms
video 10/1721 (1089/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 2 licenses, 24.4ms
video 10/1721 (1090/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 2 licenses, 24.3ms
video 10/1721 (1091/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 2 licenses, 24.5ms
video 10/1721 (1092/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 2 licenses, 24.3ms
video 10/1721 (1093/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 (no detections), 24.6ms
video 10/1721 (1094/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 (no detections), 24.3ms
video 10/1721 (1095/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 (no detections), 24.7ms
video 10/1721 (1096/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 (no detections), 24.4ms
video 10/1721 (1097/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 1 face, 24.7ms
video 10/1721 (1098/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 1 face, 24.4ms
video 10/1721 (1099/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 1 face, 24.6ms
video 10/1721 (1100/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 1 face, 24.4ms
video 10/1721 (1101/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 (no detections), 24.3ms
video 10/1721 (1102/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 (no detections), 24.4ms
video 10/1721 (1103/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 1 license, 24.4ms
video 10/1721 (1104/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 1 license, 24.4ms
video 10/1721 (1105/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 (no detections), 24.3ms
video 10/1721 (1106/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 1 face, 24.7ms
video 10/1721 (1107/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 1 face, 24.4ms
video 10/1721 (1108/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 1 face, 24.6ms
video 10/1721 (1109/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 1 license, 2 faces, 24.3ms
video 10/1721 (1110/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 1 license, 1 face, 24.6ms
video 10/1721 (1111/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 1 license, 1 face, 24.4ms
video 10/1721 (1112/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 1 license, 1 face, 24.3ms
video 10/1721 (1113/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 1 face, 24.5ms
video 10/1721 (1114/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 1 face, 24.3ms
video 10/1721 (1115/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 2 faces, 24.6ms
video 10/1721 (1116/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 2 faces, 24.3ms
video 10/1721 (1117/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 1 face, 24.5ms
video 10/1721 (1118/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 (no detections), 24.4ms
video 10/1721 (1119/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 (no detections), 24.4ms
video 10/1721 (1120/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 1 face, 24.4ms
video 10/1721 (1121/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 (no detections), 24.3ms
video 10/1721 (1122/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 (no detections), 24.4ms
video 10/1721 (1123/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 (no detections), 24.4ms
video 10/1721 (1124/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 (no detections), 24.4ms
video 10/1721 (1125/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 1 license, 1 face, 24.4ms
video 10/1721 (1126/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 1 license, 1 face, 24.4ms
video 10/1721 (1127/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 (no detections), 24.3ms
video 10/1721 (1128/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 (no detections), 24.7ms
video 10/1721 (1129/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 1 face, 24.5ms
video 10/1721 (1130/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 1 face, 24.7ms
video 10/1721 (1131/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 1 face, 24.3ms
video 10/1721 (1132/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 1 face, 24.6ms
video 10/1721 (1133/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 1 face, 24.3ms
video 10/1721 (1134/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 1 face, 24.5ms
video 10/1721 (1135/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 1 face, 24.4ms
video 10/1721 (1136/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 1 face, 24.3ms
video 10/1721 (1137/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 1 license, 24.4ms
video 10/1721 (1138/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 1 license, 24.3ms
video 10/1721 (1139/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 (no detections), 24.7ms
video 10/1721 (1140/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 (no detections), 24.4ms
video 10/1721 (1141/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 1 face, 24.7ms
video 10/1721 (1142/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 1 face, 24.3ms
video 10/1721 (1143/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 2 faces, 24.6ms
video 10/1721 (1144/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 2 faces, 24.4ms
video 10/1721 (1145/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 1 face, 24.3ms
video 10/1721 (1146/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 1 face, 24.4ms
video 10/1721 (1147/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 1 face, 24.3ms
video 10/1721 (1148/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 1 face, 24.7ms
video 10/1721 (1149/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 1 face, 24.3ms
video 10/1721 (1150/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 1 face, 24.6ms
video 10/1721 (1151/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 1 face, 24.4ms
video 10/1721 (1152/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 1 face, 24.5ms
video 10/1721 (1153/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 1 face, 24.4ms
video 10/1721 (1154/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 1 face, 24.3ms
video 10/1721 (1155/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 2 faces, 24.7ms
video 10/1721 (1156/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 2 faces, 24.3ms
video 10/1721 (1157/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 1 face, 24.6ms
video 10/1721 (1158/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 1 face, 24.3ms
video 10/1721 (1159/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 (no detections), 24.5ms
video 10/1721 (1160/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 (no detections), 24.4ms
video 10/1721 (1161/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 1 face, 24.4ms
video 10/1721 (1162/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 1 face, 24.4ms
video 10/1721 (1163/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 (no detections), 24.3ms
video 10/1721 (1164/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 (no detections), 24.4ms
video 10/1721 (1165/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 (no detections), 24.4ms
video 10/1721 (1166/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 (no detections), 24.4ms
video 10/1721 (1167/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 (no detections), 24.4ms
video 10/1721 (1168/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 (no detections), 24.4ms
video 10/1721 (1169/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 1 face, 24.5ms
video 10/1721 (1170/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 1 face, 24.4ms
video 10/1721 (1171/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 (no detections), 24.3ms
video 10/1721 (1172/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 (no detections), 24.4ms
video 10/1721 (1173/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 (no detections), 24.4ms
video 10/1721 (1174/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 1 face, 24.4ms
video 10/1721 (1175/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 2 faces, 24.3ms
video 10/1721 (1176/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 2 faces, 24.4ms
video 10/1721 (1177/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 (no detections), 24.3ms
video 10/1721 (1178/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 1 face, 24.7ms
video 10/1721 (1179/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 1 face, 24.4ms
video 10/1721 (1180/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 1 face, 24.6ms
video 10/1721 (1181/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 (no detections), 24.3ms
video 10/1721 (1182/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 (no detections), 24.5ms
video 10/1721 (1183/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 (no detections), 24.3ms
video 10/1721 (1184/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 (no detections), 24.7ms
video 10/1721 (1185/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 (no detections), 24.4ms
video 10/1721 (1186/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 (no detections), 24.7ms
video 10/1721 (1187/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 (no detections), 24.4ms
video 10/1721 (1188/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 (no detections), 24.7ms
video 10/1721 (1189/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 (no detections), 24.4ms
video 10/1721 (1190/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 (no detections), 24.7ms
video 10/1721 (1191/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 (no detections), 24.4ms
video 10/1721 (1192/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 (no detections), 24.7ms
video 10/1721 (1193/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 (no detections), 24.5ms
video 10/1721 (1194/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 (no detections), 24.7ms
video 10/1721 (1195/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 (no detections), 24.5ms
video 10/1721 (1196/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 (no detections), 24.7ms
video 10/1721 (1197/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 (no detections), 24.5ms
video 10/1721 (1198/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 (no detections), 24.7ms
video 10/1721 (1199/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 (no detections), 24.5ms
video 10/1721 (1200/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 (no detections), 24.5ms
video 10/1721 (1201/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 (no detections), 24.4ms
video 10/1721 (1202/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 (no detections), 24.5ms
video 10/1721 (1203/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 (no detections), 24.5ms
video 10/1721 (1204/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 (no detections), 24.4ms
video 10/1721 (1205/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 (no detections), 24.4ms
video 10/1721 (1206/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 (no detections), 24.4ms
video 10/1721 (1207/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 1 face, 24.5ms
video 10/1721 (1208/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 1 face, 24.4ms
video 10/1721 (1209/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 1 face, 24.3ms
video 10/1721 (1210/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 1 face, 24.5ms
video 10/1721 (1211/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 (no detections), 24.3ms
video 10/1721 (1212/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 (no detections), 24.7ms
video 10/1721 (1213/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 (no detections), 24.4ms
video 10/1721 (1214/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 (no detections), 24.7ms
video 10/1721 (1215/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 (no detections), 24.4ms
video 10/1721 (1216/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 (no detections), 24.7ms
video 10/1721 (1217/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 (no detections), 24.4ms
video 10/1721 (1218/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 (no detections), 24.7ms
video 10/1721 (1219/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 (no detections), 24.5ms
video 10/1721 (1220/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 (no detections), 24.7ms
video 10/1721 (1221/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 1 face, 24.4ms
video 10/1721 (1222/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 1 face, 24.5ms
video 10/1721 (1223/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 (no detections), 24.3ms
video 10/1721 (1224/1486) /scratch/mukil/dipx/common/aria_common/0162a831-1aaf-4555-897e-61f0dd6188ee.mp4: 1088x1088 (no detections), 24.7ms
